train dataset: size=1008
  inp: shape=(3, 64, 64)
  gt: shape=(31, 64, 64)
val dataset: size=336
  inp: shape=(3, 64, 64)
  gt: shape=(31, 64, 64)
model: #params=63.5M
epoch 93/1000, train: loss=0.0288, val: psnr=32.8492, val: ssim=0.9301, val: sam=17.0516, 26.0s 45.0m/8.1h
epoch 94/1000, train: loss=0.0281, val: psnr=32.9298, val: ssim=0.9255, val: sam=17.7400, 25.3s 45.4m/8.0h
epoch 95/1000, train: loss=0.0271, val: psnr=32.4745, val: ssim=0.9337, val: sam=15.3771, 26.6s 45.8m/8.0h
epoch 96/1000, train: loss=0.0271, val: psnr=31.5258, val: ssim=0.9286, val: sam=15.0237, 26.0s 46.3m/8.0h
epoch 97/1000, train: loss=0.0296, val: psnr=32.2620, val: ssim=0.9107, val: sam=16.7669, 25.5s 46.7m/8.0h
epoch 98/1000, train: loss=0.0284, val: psnr=33.5389, val: ssim=0.9214, val: sam=18.0751, 31.1s 47.2m/8.0h
epoch 99/1000, train: loss=0.0301, val: psnr=31.7532, val: ssim=0.9177, val: sam=16.2733, 26.3s 47.6m/8.0h
epoch 100/1000, train: loss=0.0281, val: psnr=32.7352, val: ssim=0.9269, val: sam=14.3261, 33.4s 48.2m/8.0h
epoch 101/1000, train: loss=0.0287, val: psnr=33.2658, val: ssim=0.9233, val: sam=16.2255, 26.4s 48.6m/8.0h
epoch 102/1000, train: loss=0.0275, val: psnr=32.3689, val: ssim=0.8983, val: sam=17.6820, 27.1s 49.1m/8.0h
epoch 103/1000, train: loss=0.0310, val: psnr=31.1389, val: ssim=0.9197, val: sam=17.0951, 25.6s 49.5m/8.0h
epoch 104/1000, train: loss=0.0294, val: psnr=32.5909, val: ssim=0.9288, val: sam=15.2387, 25.5s 49.9m/8.0h
epoch 105/1000, train: loss=0.0297, val: psnr=32.4523, val: ssim=0.8824, val: sam=23.7903, 25.4s 50.4m/8.0h
epoch 106/1000, train: loss=0.0289, val: psnr=32.4213, val: ssim=0.9054, val: sam=16.9784, 25.5s 50.8m/8.0h
epoch 107/1000, train: loss=0.0274, val: psnr=32.9820, val: ssim=0.9372, val: sam=14.9984, 25.2s 51.2m/8.0h
epoch 108/1000, train: loss=0.0278, val: psnr=33.1204, val: ssim=0.9375, val: sam=16.1199, 25.4s 51.6m/8.0h
epoch 109/1000, train: loss=0.0254, val: psnr=33.6688, val: ssim=0.9419, val: sam=15.2556, 31.4s 52.2m/8.0h
epoch 110/1000, train: loss=0.0256, val: psnr=32.7541, val: ssim=0.9236, val: sam=17.3531, 26.5s 52.6m/8.0h
epoch 111/1000, train: loss=0.0271, val: psnr=33.1395, val: ssim=0.9219, val: sam=16.4960, 25.2s 53.0m/8.0h
epoch 112/1000, train: loss=0.0265, val: psnr=33.1877, val: ssim=0.9290, val: sam=17.4940, 26.2s 53.4m/8.0h
epoch 113/1000, train: loss=0.0262, val: psnr=32.7763, val: ssim=0.9430, val: sam=14.0480, 25.4s 53.9m/7.9h
epoch 114/1000, train: loss=0.0250, val: psnr=32.1540, val: ssim=0.9243, val: sam=15.2512, 26.3s 54.3m/7.9h
epoch 115/1000, train: loss=0.0249, val: psnr=33.2121, val: ssim=0.9363, val: sam=15.2830, 25.1s 54.7m/7.9h
epoch 116/1000, train: loss=0.0259, val: psnr=33.1752, val: ssim=0.9232, val: sam=17.3036, 25.8s 55.2m/7.9h
epoch 117/1000, train: loss=0.0272, val: psnr=32.6371, val: ssim=0.9321, val: sam=15.6381, 25.2s 55.6m/7.9h
epoch 118/1000, train: loss=0.0324, val: psnr=32.3491, val: ssim=0.9187, val: sam=17.6158, 25.7s 56.0m/7.9h
epoch 119/1000, train: loss=0.0260, val: psnr=33.3742, val: ssim=0.9092, val: sam=19.9332, 26.2s 56.4m/7.9h
epoch 120/1000, train: loss=0.0270, val: psnr=33.8813, val: ssim=0.9172, val: sam=15.4627, 31.3s 57.0m/7.9h
epoch 121/1000, train: loss=0.0276, val: psnr=32.8652, val: ssim=0.9160, val: sam=17.8251, 26.7s 57.4m/7.9h
epoch 122/1000, train: loss=0.0256, val: psnr=33.1052, val: ssim=0.9349, val: sam=15.1100, 25.8s 57.8m/7.9h
epoch 123/1000, train: loss=0.0249, val: psnr=32.6387, val: ssim=0.9445, val: sam=15.0261, 25.2s 58.3m/7.9h
epoch 124/1000, train: loss=0.0254, val: psnr=33.2387, val: ssim=0.9471, val: sam=13.9139, 26.3s 58.7m/7.9h
epoch 125/1000, train: loss=0.0258, val: psnr=33.0248, val: ssim=0.9274, val: sam=17.2740, 25.4s 59.1m/7.9h
epoch 126/1000, train: loss=0.0266, val: psnr=33.9001, val: ssim=0.9332, val: sam=18.3049, 31.1s 59.6m/7.9h
epoch 127/1000, train: loss=0.0262, val: psnr=33.8386, val: ssim=0.9264, val: sam=15.3653, 26.8s 1.0h/7.9h
epoch 128/1000, train: loss=0.0293, val: psnr=33.0968, val: ssim=0.9321, val: sam=17.1566, 26.5s 1.0h/7.9h
epoch 129/1000, train: loss=0.0282, val: psnr=32.9472, val: ssim=0.9424, val: sam=15.6026, 25.9s 1.0h/7.9h
epoch 130/1000, train: loss=0.0278, val: psnr=33.2270, val: ssim=0.9296, val: sam=17.4275, 25.3s 1.0h/7.9h
epoch 131/1000, train: loss=0.0278, val: psnr=31.3401, val: ssim=0.9207, val: sam=16.0723, 26.2s 1.0h/7.9h
epoch 132/1000, train: loss=0.0284, val: psnr=32.9035, val: ssim=0.9364, val: sam=15.2376, 25.5s 1.0h/7.9h
epoch 133/1000, train: loss=0.0280, val: psnr=32.5800, val: ssim=0.9421, val: sam=14.7709, 25.6s 1.0h/7.9h
epoch 134/1000, train: loss=0.0266, val: psnr=32.2680, val: ssim=0.9332, val: sam=16.3803, 25.8s 1.1h/7.8h
epoch 135/1000, train: loss=0.0288, val: psnr=32.4574, val: ssim=0.8896, val: sam=18.4646, 25.3s 1.1h/7.8h
epoch 136/1000, train: loss=0.0279, val: psnr=32.9591, val: ssim=0.9189, val: sam=16.8341, 26.2s 1.1h/7.8h
epoch 137/1000, train: loss=0.0277, val: psnr=32.3607, val: ssim=0.9322, val: sam=16.5908, 25.2s 1.1h/7.8h
epoch 138/1000, train: loss=0.0295, val: psnr=33.0521, val: ssim=0.9386, val: sam=15.7148, 25.8s 1.1h/7.8h
epoch 139/1000, train: loss=0.0257, val: psnr=32.9290, val: ssim=0.9363, val: sam=17.5001, 25.4s 1.1h/7.8h
epoch 140/1000, train: loss=0.0257, val: psnr=33.8540, val: ssim=0.9336, val: sam=16.4301, 28.2s 1.1h/7.8h
epoch 141/1000, train: loss=0.0256, val: psnr=34.0203, val: ssim=0.9426, val: sam=15.5301, 32.0s 1.1h/7.8h
epoch 142/1000, train: loss=0.0237, val: psnr=33.9533, val: ssim=0.9375, val: sam=15.5116, 26.1s 1.1h/7.8h
epoch 143/1000, train: loss=0.0258, val: psnr=33.0568, val: ssim=0.9382, val: sam=16.6147, 25.5s 1.1h/7.8h
epoch 144/1000, train: loss=0.0261, val: psnr=32.8340, val: ssim=0.9304, val: sam=15.3000, 25.3s 1.1h/7.8h
epoch 145/1000, train: loss=0.0277, val: psnr=32.9975, val: ssim=0.9444, val: sam=16.1345, 26.1s 1.1h/7.8h
epoch 146/1000, train: loss=0.0249, val: psnr=33.1077, val: ssim=0.9308, val: sam=15.2611, 25.2s 1.1h/7.8h
epoch 147/1000, train: loss=0.0261, val: psnr=32.5227, val: ssim=0.9329, val: sam=16.4947, 25.8s 1.1h/7.8h
epoch 148/1000, train: loss=0.0238, val: psnr=33.8271, val: ssim=0.9545, val: sam=16.5587, 25.4s 1.2h/7.8h
epoch 149/1000, train: loss=0.0256, val: psnr=31.8420, val: ssim=0.9371, val: sam=15.6939, 25.3s 1.2h/7.8h
epoch 150/1000, train: loss=0.0271, val: psnr=32.4167, val: ssim=0.9161, val: sam=16.4791, 25.7s 1.2h/7.8h
epoch 151/1000, train: loss=0.0272, val: psnr=32.5209, val: ssim=0.9386, val: sam=15.4497, 25.6s 1.2h/7.8h
epoch 152/1000, train: loss=0.0251, val: psnr=33.6610, val: ssim=0.9401, val: sam=15.2422, 25.9s 1.2h/7.8h
epoch 153/1000, train: loss=0.0234, val: psnr=33.7939, val: ssim=0.9446, val: sam=13.7775, 25.0s 1.2h/7.8h
epoch 154/1000, train: loss=0.0225, val: psnr=34.1424, val: ssim=0.9530, val: sam=13.6810, 31.1s 1.2h/7.8h
epoch 155/1000, train: loss=0.0260, val: psnr=32.5095, val: ssim=0.9228, val: sam=17.9446, 26.7s 1.2h/7.8h
epoch 156/1000, train: loss=0.0262, val: psnr=32.6234, val: ssim=0.9268, val: sam=16.0381, 25.2s 1.2h/7.8h
epoch 157/1000, train: loss=0.0252, val: psnr=33.2133, val: ssim=0.9280, val: sam=15.6404, 26.3s 1.2h/7.8h
epoch 158/1000, train: loss=0.0271, val: psnr=31.7668, val: ssim=0.8915, val: sam=15.8214, 25.3s 1.2h/7.8h
epoch 159/1000, train: loss=0.0284, val: psnr=33.6577, val: ssim=0.9283, val: sam=17.4880, 26.0s 1.2h/7.8h
epoch 160/1000, train: loss=0.0257, val: psnr=32.6427, val: ssim=0.9285, val: sam=18.6415, 25.2s 1.2h/7.8h
epoch 161/1000, train: loss=0.0275, val: psnr=31.7602, val: ssim=0.8841, val: sam=14.5002, 26.3s 1.2h/7.8h
epoch 162/1000, train: loss=0.0261, val: psnr=33.3373, val: ssim=0.9275, val: sam=16.2086, 25.5s 1.3h/7.7h
epoch 163/1000, train: loss=0.0264, val: psnr=32.7311, val: ssim=0.9203, val: sam=17.8536, 25.2s 1.3h/7.7h
epoch 164/1000, train: loss=0.0264, val: psnr=32.1263, val: ssim=0.9233, val: sam=18.7456, 25.5s 1.3h/7.7h
epoch 165/1000, train: loss=0.0272, val: psnr=33.7775, val: ssim=0.9267, val: sam=16.4511, 25.3s 1.3h/7.7h
epoch 166/1000, train: loss=0.0240, val: psnr=33.0940, val: ssim=0.9400, val: sam=15.0182, 25.1s 1.3h/7.7h
